Date,Open,High,Low,Close,Adj Close,Volume
2021-12-08,46.099998,46.549999,45.750000,46.000000,45.928959,23856
2021-12-09,46.150002,46.150002,45.400002,45.750000,45.679344,29262
2021-12-10,45.099998,45.650002,44.900002,45.200001,45.130196,23399
2021-12-13,46.549999,47.000000,46.250000,46.450001,46.378265,7841
2021-12-14,46.349998,47.150002,46.250999,46.900002,46.827572,8818
2021-12-15,47.599998,47.849998,47.049999,47.299999,47.226952,15863
2021-12-16,47.150002,47.799999,46.799999,47.599998,47.526485,28719
2021-12-17,45.900002,45.900002,45.450001,45.650002,45.579502,10564
2021-12-20,46.099998,46.150002,44.238899,45.150002,45.080273,57170
2021-12-21,45.099998,45.099998,44.049999,44.299999,44.231583,29949
2021-12-22,44.200001,44.849998,44.000000,44.799999,44.730812,78932
2021-12-23,45.299999,45.549999,44.700001,45.549999,45.479652,4041
2021-12-24,44.900002,45.349998,44.849998,45.349998,45.279961,3950
2021-12-29,45.599998,45.599998,45.049999,45.099998,45.030350,345
2021-12-30,44.700001,45.549999,44.700001,45.400002,45.329887,247
2021-12-31,46.200001,46.200001,46.200001,46.200001,46.128651,20
2022-01-04,47.099998,47.849998,47.099998,47.400002,47.326797,15133
2022-01-05,49.250000,50.000000,49.099998,50.000000,49.922783,15836
2022-01-06,49.200001,49.799999,48.849998,49.799999,49.723091,7118
2022-01-07,49.299999,49.549999,49.299999,49.549999,49.473476,623
2022-01-10,50.000000,50.299999,49.799999,50.299999,50.222317,734
2022-01-11,50.599998,50.599998,50.000000,50.299999,50.222317,30757
2022-01-12,51.099998,51.099998,50.000000,50.900002,50.821392,9895
2022-01-13,50.500000,50.700001,50.099998,50.400002,50.322166,24107
2022-01-14,49.099998,49.400002,48.750000,48.900002,48.824482,48570
2022-01-17,48.250000,48.450001,48.200001,48.200001,48.125565,8952
2022-01-18,49.500000,49.549999,48.900002,49.099998,49.024170,1623
2022-01-19,49.250000,49.549999,49.250000,49.500000,49.423553,432
2022-01-20,50.200001,50.200001,48.799999,49.900002,49.822937,10143
2022-01-21,48.400002,48.549999,47.900002,47.900002,47.826027,9001
2022-01-24,47.000000,48.750000,46.349998,47.000000,46.927414,4708
2022-01-25,49.250000,50.500000,49.250000,49.750000,49.673168,7007
2022-01-26,50.299999,50.799999,50.200001,50.799999,50.721546,7638
2022-01-27,51.000000,53.200001,50.799999,52.500000,52.418922,51571
2022-01-28,51.900002,52.000000,50.403801,52.000000,51.919693,59231
2022-01-31,52.099998,52.301071,51.500000,52.299999,52.219231,9947
2022-02-01,52.000000,53.900002,52.000000,53.900002,53.816761,8936
2022-02-02,53.799999,54.799999,53.700001,54.700001,54.615524,16240
2022-02-03,54.299999,54.299999,53.400002,53.900002,53.816761,13299
2022-02-04,53.400002,53.599998,53.000000,53.099998,53.017994,4465
2022-02-07,52.700001,53.500000,52.700001,53.500000,53.417377,1537
2022-02-08,53.000000,53.900002,53.000000,53.900002,53.816761,1564
2022-02-09,54.099998,54.400002,53.700001,54.400002,54.315987,2668
2022-02-10,54.299999,54.599998,53.599998,54.000000,53.916603,75274
2022-02-11,53.799999,54.500000,52.900002,54.200001,54.116295,15979
2022-02-14,52.900002,53.200001,51.500000,53.200001,53.117840,15801
2022-02-15,52.099998,53.400002,52.099998,53.400002,53.317532,188
2022-02-16,53.900002,53.900002,53.099998,53.599998,53.517220,5502
